City,24h_Jobs,Week_Jobs,Month_Jobs,Total_Jobs,Date
Ottawa,10,52,126,145,2024-10-06
Toronto,75,234,928,1007,2024-10-06
Montreal,45,175,548,592,2024-10-06
Vancouver,25,90,287,335,2024-10-06
Calgary,10,45,105,116,2024-10-06
Edmonton,4,11,58,63,2024-10-06
Edmonton,1,33,58,79,2024-10-07
Calgary,5,48,103,118,2024-10-07
Vancouver,22,133,307,362,2024-10-07
Montreal,15,198,516,550,2024-10-07
Toronto,48,262,713,837,2024-10-07
Ottawa,10,43,136,172,2024-10-07
Ottawa,13,38,135,171,2024-10-08
Toronto,78,269,702,845,2024-10-08
Montreal,34,185,516,552,2024-10-08
Vancouver,24,119,278,333,2024-10-08
Calgary,2,39,97,112,2024-10-08
Edmonton,2,19,58,79,2024-10-08
